# universal floor, scanned x <= 200000000, LMAX=900, overflow aborts=0
# L  need  mu_L   log2(mu_L)/L
1 1 1 0.000000
2 2 3 0.792481
3 2 1 0.000000
4 3 7 0.701839
5 4 7 0.561471
6 4 7 0.467892
7 5 9 0.452846
8 6 27 0.594361
9 6 27 0.528321
10 7 27 0.475489
11 7 27 0.432263
12 8 27 0.396241
13 9 27 0.365761
14 9 27 0.339635
15 10 27 0.316993
16 11 27 0.297180
17 11 27 0.279699
18 12 27 0.264160
19 12 27 0.250257
20 13 27 0.237744
21 14 27 0.226423
22 14 27 0.216131
23 15 27 0.206734
24 16 27 0.198120
25 16 27 0.190196
26 17 27 0.182880
27 18 27 0.176107
28 18 27 0.169817
29 19 27 0.163962
30 19 27 0.158496
31 20 27 0.153383
32 21 27 0.148590
33 21 27 0.144088
34 22 27 0.139850
35 23 27 0.135854
36 23 27 0.132080
37 24 27 0.128510
38 24 27 0.125129
39 25 27 0.121920
40 26 27 0.118872
41 26 27 0.115973
42 27 27 0.113212
43 28 27 0.110579
44 28 27 0.108066
45 29 27 0.105664
46 30 27 0.103367
47 30 27 0.101168
48 31 27 0.099060
49 31 27 0.097039
50 32 27 0.095098
51 33 27 0.093233
52 33 27 0.091440
53 34 27 0.089715
54 35 27 0.088053
55 35 27 0.086453
56 36 27 0.084909
57 36 27 0.083419
58 37 27 0.081981
59 38 31 0.083969
60 38 27 0.079248
61 39 27 0.077949
62 40 27 0.076692
63 40 27 0.075474
64 41 231 0.122684
65 42 327 0.128510
66 42 313 0.125606
67 43 327 0.124674
68 43 327 0.122840
69 44 327 0.121060
70 45 327 0.119331
71 45 327 0.117650
72 46 327 0.116016
73 47 703 0.129553
74 47 327 0.112880
75 48 703 0.126098
76 48 703 0.124439
77 49 703 0.122823
78 50 703 0.121248
79 50 703 0.119714
80 51 703 0.118217
81 52 871 0.120574
82 52 871 0.119104
83 53 871 0.117669
84 53 871 0.116268
85 54 871 0.114900
86 55 871 0.113564
87 55 871 0.112259
88 56 871 0.110983
89 57 871 0.109736
90 57 871 0.108517
91 58 1161 0.111881
92 59 2463 0.122459
93 59 2463 0.121142
94 60 2463 0.119853
95 60 2463 0.118592
96 61 2463 0.117356
97 62 2463 0.116146
98 62 2463 0.114961
99 63 2463 0.113800
100 64 2463 0.112662
101 64 2463 0.111547
102 65 2463 0.110453
103 65 2463 0.109381
104 66 2919 0.110685
105 67 2919 0.109631
106 67 2919 0.108597
107 68 2919 0.107582
108 69 6919 0.118114
109 69 6919 0.117031
110 70 9225 0.119739
111 71 35655 0.136233
112 71 24601 0.130236
113 72 27135 0.130335
114 72 21867 0.126460
115 73 21867 0.125361
116 74 27135 0.126964
117 74 16063 0.119414
118 75 27135 0.124812
119 76 27135 0.123764
120 76 27135 0.122732
121 77 35655 0.124974
122 77 27135 0.120720
123 78 32415 0.121824
124 79 32415 0.120842
125 79 3711 0.094861
126 80 35655 0.120014
127 81 35655 0.119069
128 81 35655 0.118139
129 82 35655 0.117223
130 83 35655 0.116322
131 83 35655 0.115434
132 84 35655 0.114559
133 84 32415 0.112664
134 85 35655 0.112849
135 86 45055 0.114514
136 86 35655 0.111190
137 87 60073 0.115872
138 88 60975 0.115188
139 88 60975 0.114359
140 89 60975 0.113542
141 89 60975 0.112737
142 90 60975 0.111943
143 91 60975 0.111160
144 91 60975 0.110388
145 92 60975 0.109627
146 93 60975 0.108876
147 93 37503 0.103365
148 94 37503 0.102667
149 95 37503 0.101978
150 95 37503 0.101298
151 96 60975 0.105271
152 96 60975 0.104578
153 97 94959 0.108072
154 98 94959 0.107370
155 98 94959 0.106678
156 99 142587 0.109753
157 100 160411 0.110136
158 100 60975 0.100607
159 101 60975 0.099974
160 101 60975 0.099350
161 102 142587 0.106345
162 103 142587 0.105688
163 103 142587 0.105040
164 104 142587 0.104399
165 105 142587 0.103767
166 105 142587 0.103141
167 106 156159 0.103309
168 106 142587 0.101914
169 107 160411 0.102316
170 108 160411 0.101714
171 108 142587 0.100126
172 109 142587 0.099544
173 110 142587 0.098968
174 110 142587 0.098399
175 111 142587 0.097837
176 112 438699 0.106494
177 112 438699 0.105892
178 113 837799 0.110541
179 113 626331 0.107579
180 114 626331 0.106981
181 115 837799 0.108709
182 115 687871 0.106548
183 116 837799 0.107520
184 117 837799 0.106936
185 117 704623 0.105008
186 118 837799 0.105786
187 118 626331 0.102976
188 119 626331 0.102429
189 120 837799 0.104107
190 120 837799 0.103559
191 121 837799 0.103017
192 122 837799 0.102480
193 122 837799 0.101949
194 123 837799 0.101424
195 124 837799 0.100904
196 124 837799 0.100389
197 125 837799 0.099879
198 125 837799 0.099375
199 126 1117065 0.100961
200 127 1126015 0.100514
201 127 704623 0.096649
202 128 704623 0.096171
203 129 1126015 0.099029
204 129 626331 0.094395
205 130 626331 0.093934
206 130 626331 0.093478
207 131 837799 0.095054
208 132 837799 0.094597
209 132 665215 0.092552
210 133 665215 0.092112
211 134 1126015 0.095274
212 134 837799 0.092812
213 135 1126015 0.094379
214 136 1126015 0.093938
215 136 1126015 0.093501
216 137 1126015 0.093068
217 137 665215 0.089140
218 138 1126015 0.092215
219 139 1126015 0.091794
220 139 1126015 0.091376
221 140 1126015 0.090963
222 141 1126015 0.090553
223 141 1126015 0.090147
224 142 1501353 0.091597
225 142 1394431 0.090717
226 143 1394431 0.090315
227 144 1394431 0.089917
228 144 1394431 0.089523
229 145 1859241 0.090944
230 146 4745017 0.096426
231 146 3066367 0.093282
232 147 5623723 0.096651
233 148 5623723 0.096236
234 148 2725659 0.091360
235 149 3066367 0.091694
236 149 2725659 0.090585
237 150 2725659 0.090203
238 151 2725659 0.089824
239 151 1394431 0.085403
240 152 1394431 0.085047
241 153 5649499 0.093069
242 153 1859241 0.086059
243 154 5649499 0.092303
244 154 1394431 0.083653
245 155 5649499 0.091550
246 156 6649279 0.092133
247 156 6649279 0.091760
248 157 6649279 0.091390
249 158 6649279 0.091023
250 158 6206655 0.090262
251 159 6206655 0.089902
252 159 6206655 0.089545
253 160 6206655 0.089191
254 161 6255855 0.088885
255 161 6255855 0.088536
256 162 6255855 0.088191
257 163 6255855 0.087847
258 163 6255855 0.087507
259 164 6255855 0.087169
260 165 6255855 0.086834
261 165 6255855 0.086501
262 166 6255855 0.086171
263 166 6255855 0.085843
264 167 6255855 0.085518
265 168 6255855 0.085195
266 168 6255855 0.084875
267 169 6649279 0.084887
268 170 6649279 0.084570
269 170 6649279 0.084256
270 171 6649279 0.083944
271 171 6649279 0.083634
272 172 6649279 0.083326
273 173 6649279 0.083021
274 173 6649279 0.082718
275 174 6649279 0.082417
276 175 6649279 0.082119
277 175 6649279 0.081822
278 176 6649279 0.081528
279 177 6649279 0.081236
280 177 6649279 0.080946
281 178 6649279 0.080658
282 178 6649279 0.080372
283 179 6649279 0.080088
284 180 6649279 0.079806
285 180 6649279 0.079525
286 181 6649279 0.079247
287 182 6649279 0.078971
288 182 6649279 0.078697
289 183 6649279 0.078425
290 183 6649279 0.078154
291 184 6649279 0.077886
292 185 6649279 0.077619
293 185 6649279 0.077354
294 186 6649279 0.077091
295 187 6649279 0.076830
296 187 6649279 0.076570
297 188 6649279 0.076312
298 189 6649279 0.076056
299 189 6649279 0.075802
300 190 6649279 0.075549
301 190 6649279 0.075298
302 191 6649279 0.075049
303 192 8865705 0.076171
304 192 8865705 0.075920
305 193 10507503 0.076475
306 194 10507503 0.076225
307 194 10507503 0.075977
308 195 10507503 0.075730
309 195 10507503 0.075485
310 196 31355647 0.080330
311 197 39358695 0.081126
312 197 8400511 0.073725
313 198 8400511 0.073489
314 199 35212527 0.079839
315 199 8400511 0.073022
316 200 8400511 0.072791
317 201 8400511 0.072562
318 201 8400511 0.072333
319 202 11200681 0.073408
320 202 11200681 0.073178
321 203 14934241 0.074243
322 204 41464303 0.078588
323 204 19912321 0.075069
324 205 41464303 0.078103
325 206 41464303 0.077863
326 206 41464303 0.077624
327 207 55285737 0.078656
328 207 15733191 0.072888
329 208 15733191 0.072667
330 209 63728127 0.078562
331 209 63728127 0.078325
332 210 63728127 0.078089
333 211 63728127 0.077854
334 211 35212527 0.075059
335 212 63728127 0.077389
336 212 63728127 0.077159
337 213 63728127 0.076930
338 214 63728127 0.076702
339 214 63728127 0.076476
340 215 63728127 0.076251
341 216 63728127 0.076028
342 216 63728127 0.075805
