# X-6170 uniform floors, scanned 2 <= n <= 100000000 (n=1 excluded: trivial cycle)
# L  s_L(sigma>L)  nu_L(density)  log2(s_L)/L  log2(nu_L)/L
1 3 3 1.584963 1.584963
2 3 3 0.792481 0.792481
3 3 3 0.528321 0.528321
4 7 7 0.701839 0.701839
5 7 7 0.561471 0.561471
6 7 7 0.467892 0.467892
7 27 27 0.679270 0.679270
8 27 27 0.594361 0.594361
9 27 27 0.528321 0.528321
10 27 27 0.475489 0.475489
11 27 27 0.432263 0.432263
12 27 27 0.396241 0.396241
13 27 27 0.365761 0.365761
14 27 27 0.339635 0.339635
15 27 27 0.316993 0.316993
16 27 27 0.297180 0.297180
17 27 27 0.279699 0.279699
18 27 27 0.264160 0.264160
19 27 27 0.250257 0.250257
20 27 27 0.237744 0.237744
21 27 27 0.226423 0.226423
22 27 27 0.216131 0.216131
23 27 27 0.206734 0.206734
24 27 27 0.198120 0.198120
25 27 27 0.190196 0.190196
26 27 27 0.182880 0.182880
27 27 27 0.176107 0.176107
28 27 27 0.169817 0.169817
29 27 27 0.163962 0.163962
30 27 27 0.158496 0.158496
31 27 27 0.153383 0.153383
32 27 27 0.148590 0.148590
33 27 27 0.144088 0.144088
34 27 27 0.139850 0.139850
35 27 27 0.135854 0.135854
36 27 27 0.132080 0.132080
37 27 27 0.128510 0.128510
38 27 27 0.125129 0.125129
39 27 27 0.121920 0.121920
40 27 27 0.118872 0.118872
41 27 27 0.115973 0.115973
42 27 27 0.113212 0.113212
43 27 27 0.110579 0.110579
44 27 27 0.108066 0.108066
45 27 27 0.105664 0.105664
46 27 27 0.103367 0.103367
47 27 27 0.101168 0.101168
48 27 27 0.099060 0.099060
49 27 27 0.097039 0.097039
50 27 27 0.095098 0.095098
51 27 27 0.093233 0.093233
52 27 27 0.091440 0.091440
53 27 27 0.089715 0.089715
54 27 27 0.088053 0.088053
55 27 27 0.086453 0.086453
56 27 27 0.084909 0.084909
57 27 27 0.083419 0.083419
58 27 27 0.081981 0.081981
59 703 703 0.160295 0.160295
60 703 703 0.157623 0.157623
61 703 703 0.155039 0.155039
62 703 703 0.152538 0.152538
63 703 703 0.150117 0.150117
64 703 703 0.147772 0.147772
65 703 703 0.145498 0.145498
66 703 703 0.143294 0.143294
