# X-6180 coverage depth profile, X = 100000000, overflow paths = 0, max depth = 592
# d  coverage(d)  fraction  log(coverage)/log(X)
0 1 0.000000010 0.000000
5 9 0.000000090 0.119280
10 44 0.000000440 0.205432
15 206 0.000002060 0.289233
20 855 0.000008550 0.366496
25 3573 0.000035730 0.444129
30 14974 0.000149740 0.521917
35 58861 0.000588610 0.596228
40 200217 0.002002170 0.662688
45 564629 0.005646290 0.718970
50 1289300 0.012893000 0.763794
55 2576935 0.025769350 0.801388
60 4423251 0.044232510 0.830718
65 6899333 0.068993330 0.854851
70 10099546 0.100995460 0.875538
75 13914147 0.139141470 0.892932
80 18100301 0.181003010 0.907211
85 22346924 0.223469240 0.918652
90 27017760 0.270177600 0.928956
95 31323675 0.313236750 0.936984
100 35903826 0.359038260 0.944393
105 40336886 0.403368860 0.950713
110 45233545 0.452335450 0.956933
115 49714879 0.497148790 0.962061
120 54409454 0.544094540 0.966959
125 58779912 0.587799120 0.971154
130 62884399 0.628843990 0.974818
135 67144659 0.671446590 0.978376
140 71351252 0.713512520 0.981675
145 75174486 0.751744860 0.984509
150 78450840 0.784508400 0.986825
155 81759400 0.817594000 0.989067
160 84149307 0.841493070 0.990631
165 86617430 0.866174300 0.992201
170 88647913 0.886479130 0.993459
175 90717302 0.907173020 0.994711
180 92114255 0.921142550 0.995541
185 93503696 0.935036960 0.996354
190 94597326 0.945973260 0.996985
195 95476539 0.954765390 0.997487
200 96252403 0.962524030 0.997926
205 96967417 0.969674170 0.998328
210 97527398 0.975273980 0.998641
215 97964924 0.979649240 0.998884
220 98372633 0.983726330 0.999109
225 98637477 0.986374770 0.999255
230 98904762 0.989047620 0.999402
235 99108226 0.991082260 0.999514
240 99305286 0.993052860 0.999622
245 99426051 0.994260510 0.999688
250 99545537 0.995455370 0.999753
255 99633782 0.996337820 0.999801
260 99702096 0.997020960 0.999838
265 99757171 0.997571710 0.999868
270 99810005 0.998100050 0.999897
275 99848525 0.998485250 0.999918
280 99877822 0.998778220 0.999934
285 99903312 0.999033120 0.999947
290 99919861 0.999198610 0.999956
295 99936505 0.999365050 0.999966
300 99948639 0.999486390 0.999972
305 99959881 0.999598810 0.999978
310 99966420 0.999664200 0.999982
315 99972808 0.999728080 0.999985
320 99977157 0.999771570 0.999988
325 99980734 0.999807340 0.999990
330 99983745 0.999837450 0.999991
335 99987052 0.999870520 0.999993
340 99989665 0.999896650 0.999994
345 99991772 0.999917720 0.999996
350 99993474 0.999934740 0.999996
355 99994639 0.999946390 0.999997
360 99995843 0.999958430 0.999998
365 99996754 0.999967540 0.999998
370 99997491 0.999974910 0.999999
375 99997923 0.999979230 0.999999
380 99998430 0.999984300 0.999999
385 99998743 0.999987430 0.999999
390 99999041 0.999990410 0.999999
395 99999252 0.999992520 1.000000
400 99999431 0.999994310 1.000000
405 99999510 0.999995100 1.000000
410 99999551 0.999995510 1.000000
415 99999619 0.999996190 1.000000
420 99999701 0.999997010 1.000000
425 99999773 0.999997730 1.000000
430 99999835 0.999998350 1.000000
435 99999900 0.999999000 1.000000
440 99999938 0.999999380 1.000000
445 99999971 0.999999710 1.000000
450 99999977 0.999999770 1.000000
455 99999980 0.999999800 1.000000
460 99999982 0.999999820 1.000000
465 99999992 0.999999920 1.000000
470 99999996 0.999999960 1.000000
475 99999996 0.999999960 1.000000
480 99999996 0.999999960 1.000000
485 99999996 0.999999960 1.000000
490 99999996 0.999999960 1.000000
495 99999996 0.999999960 1.000000
500 99999997 0.999999970 1.000000
505 99999997 0.999999970 1.000000
510 99999998 0.999999980 1.000000
515 99999998 0.999999980 1.000000
520 99999998 0.999999980 1.000000
525 99999998 0.999999980 1.000000
530 99999998 0.999999980 1.000000
535 99999998 0.999999980 1.000000
540 99999998 0.999999980 1.000000
545 99999998 0.999999980 1.000000
550 99999998 0.999999980 1.000000
555 99999998 0.999999980 1.000000
560 99999998 0.999999980 1.000000
565 99999998 0.999999980 1.000000
570 99999998 0.999999980 1.000000
575 99999998 0.999999980 1.000000
580 99999998 0.999999980 1.000000
585 99999998 0.999999980 1.000000
590 99999998 0.999999980 1.000000
592 100000000 1.000000000 1.000000
