# X-6180 coverage depth profile, X = 100000000, overflow paths = 0, max depth = 592
# d  coverage(d)  fraction  log(coverage)/log(X)
0 1 0.000000010 0.000000
1 2 0.000000020 0.037629
2 3 0.000000030 0.059640
3 4 0.000000040 0.075257
4 6 0.000000060 0.097269
5 9 0.000000090 0.119280
6 13 0.000000130 0.139243
7 18 0.000000180 0.156909
8 24 0.000000240 0.172526
9 32 0.000000320 0.188144
10 44 0.000000440 0.205432
11 62 0.000000620 0.224049
12 86 0.000000860 0.241812
13 117 0.000001170 0.258523
14 156 0.000001560 0.274141
15 206 0.000002060 0.289233
16 274 0.000002740 0.304719
17 365 0.000003650 0.320287
18 485 0.000004850 0.335718
19 644 0.000006440 0.351111
20 855 0.000008550 0.366496
21 1137 0.000011370 0.381970
22 1518 0.000015180 0.397659
23 2023 0.000020230 0.413249
24 2688 0.000026880 0.428679
25 3573 0.000035730 0.444129
26 4760 0.000047600 0.459701
27 6349 0.000063490 0.475338
28 8470 0.000084700 0.490985
29 11285 0.000112850 0.506563
30 14974 0.000149740 0.521917
31 19907 0.000199070 0.537376
32 26291 0.000262910 0.552476
33 34522 0.000345220 0.567262
34 45429 0.000454290 0.582167
35 58861 0.000588610 0.596228
36 77207 0.000772070 0.610957
37 99222 0.000992220 0.624576
38 124643 0.001246430 0.636958
39 160210 0.001602100 0.650586
40 200217 0.002002170 0.662688
41 245186 0.002451860 0.673687
42 307108 0.003071080 0.685911
43 372359 0.003723590 0.696370
44 467085 0.004670850 0.708674
45 564629 0.005646290 0.718970
46 661099 0.006610990 0.727533
47 805246 0.008052460 0.738241
48 945026 0.009450260 0.746930
49 1088514 0.010885140 0.754604
50 1289300 0.012893000 0.763794
51 1473931 0.014739310 0.771060
52 1727573 0.017275730 0.779680
53 1986972 0.019869720 0.787274
54 2214217 0.022142170 0.793153
55 2576935 0.025769350 0.801388
56 2891069 0.028910690 0.807632
57 3159674 0.031596740 0.812455
58 3592173 0.035921730 0.819420
59 3951627 0.039516270 0.824597
60 4423251 0.044232510 0.830718
61 4911368 0.049113680 0.836400
62 5302608 0.053026080 0.840561
63 5964136 0.059641360 0.846943
64 6490538 0.064905380 0.851535
65 6899333 0.068993330 0.854851
66 7606251 0.076062510 0.860146
67 8152005 0.081520050 0.863908
68 8822833 0.088228330 0.868201
69 9551724 0.095517240 0.872510
70 10099546 0.100995460 0.875538
71 10981103 0.109811030 0.880081
72 11708432 0.117084320 0.883562
73 12242396 0.122423960 0.885983
74 13208247 0.132082470 0.890106
75 13914147 0.139141470 0.892932
76 14535546 0.145355460 0.895304
77 15468811 0.154688110 0.898682
78 16136865 0.161368650 0.900977
79 17218298 0.172182980 0.904499
80 18100301 0.181003010 0.907211
81 18720469 0.187204690 0.909040
82 19884703 0.198847030 0.912315
83 20702198 0.207021980 0.914502
84 21268035 0.212680350 0.915966
85 22346924 0.223469240 0.918652
86 23093227 0.230932270 0.920436
87 24161737 0.241617370 0.922891
88 25145019 0.251450190 0.925056
89 25815852 0.258158520 0.926486
90 27017760 0.270177600 0.928956
91 27902752 0.279027520 0.930706
92 28500955 0.285009550 0.931857
93 29669662 0.296696620 0.934039
94 30459553 0.304595530 0.935465
95 31323675 0.313236750 0.936984
96 32367942 0.323679420 0.938764
97 33069773 0.330697730 0.939929
98 34352902 0.343529020 0.941995
99 35282153 0.352821530 0.943444
100 35903826 0.359038260 0.944393
101 37134692 0.371346920 0.946222
102 37959503 0.379595030 0.947415
103 38510435 0.385104350 0.948197
104 39604669 0.396046690 0.949718
105 40336886 0.403368860 0.950713
106 41466510 0.414665100 0.952212
107 42438965 0.424389650 0.953471
108 43088666 0.430886660 0.954295
109 44370057 0.443700570 0.955886
110 45233545 0.452335450 0.956933
111 45810076 0.458100760 0.957620
112 46958505 0.469585050 0.958964
113 47726370 0.477263700 0.959845
114 48693668 0.486936680 0.960934
115 49714879 0.497148790 0.962061
116 50396007 0.503960070 0.962800
117 51698873 0.516988730 0.964185
118 52604700 0.526047000 0.965128
119 53206031 0.532060310 0.965745
120 54409454 0.544094540 0.966959
121 55208327 0.552083270 0.967751
122 55735913 0.557359130 0.968267
123 56796171 0.567961710 0.969290
124 57496017 0.574960170 0.969955
125 58779912 0.587799120 0.971154
126 59708836 0.597088360 0.972005
127 60318276 0.603182760 0.972556
128 61550861 0.615508610 0.973654
129 62358715 0.623587150 0.974362
130 62884399 0.628843990 0.974818
131 63955229 0.639552290 0.975735
132 64652529 0.646525290 0.976323
133 65623807 0.656238070 0.977133
134 66547784 0.665477840 0.977892
135 67144659 0.671446590 0.978376
136 68337191 0.683371910 0.979332
137 69127821 0.691278210 0.979957
138 69633895 0.696338950 0.980353
139 70681220 0.706812200 0.981163
140 71351252 0.713512520 0.981675
141 71846144 0.718461440 0.982050
142 72733097 0.727330970 0.982717
143 73295306 0.732953060 0.983135
144 74429699 0.744296990 0.983968
145 75174486 0.751744860 0.984509
146 75641944 0.756419440 0.984845
147 76627915 0.766279150 0.985548
148 77246812 0.772468120 0.985985
149 77631183 0.776311830 0.986255
150 78450840 0.784508400 0.986825
151 78960158 0.789601580 0.987176
152 79793118 0.797931180 0.987746
153 80467894 0.804678940 0.988203
154 80882257 0.808822570 0.988482
155 81759400 0.817594000 0.989067
156 82309143 0.823091430 0.989431
157 82643316 0.826433160 0.989651
158 83372586 0.833725860 0.990128
159 83816154 0.838161540 0.990416
160 84149307 0.841493070 0.990631
161 84738562 0.847385620 0.991010
162 85093617 0.850936170 0.991237
163 85861833 0.858618330 0.991725
164 86334921 0.863349210 0.992023
165 86617430 0.866174300 0.992201
166 87247458 0.872474580 0.992594
167 87624402 0.876244020 0.992828
168 87847479 0.878474790 0.992966
169 88349918 0.883499180 0.993276
170 88647913 0.886479130 0.993459
171 89246453 0.892464530 0.993824
172 89645017 0.896450170 0.994066
173 89879614 0.898796140 0.994208
174 90403573 0.904035730 0.994523
175 90717302 0.907173020 0.994711
176 90900794 0.909007940 0.994821
177 91321632 0.913216320 0.995072
178 91567925 0.915679250 0.995218
179 91783328 0.917833280 0.995345
180 92114255 0.921142550 0.995541
181 92307281 0.923072810 0.995654
182 92745204 0.927452040 0.995911
183 93004837 0.930048370 0.996063
184 93154943 0.931549430 0.996151
185 93503696 0.935036960 0.996354
186 93706308 0.937063080 0.996471
187 93822807 0.938228070 0.996539
188 94095450 0.940954500 0.996696
189 94252907 0.942529070 0.996787
190 94597326 0.945973260 0.996985
191 94809884 0.948098840 0.997107
192 94931758 0.949317580 0.997176
193 95218579 0.952185790 0.997340
194 95383065 0.953830650 0.997434
195 95476539 0.954765390 0.997487
196 95698621 0.956986210 0.997613
197 95824861 0.958248610 0.997685
198 95984614 0.959846140 0.997775
199 96155626 0.961556260 0.997872
200 96252403 0.962524030 0.997926
201 96481412 0.964814120 0.998055
202 96613073 0.966130730 0.998129
203 96687271 0.966872710 0.998171
204 96866248 0.968662480 0.998272
205 96967417 0.969674170 0.998328
206 97024711 0.970247110 0.998360
207 97162594 0.971625940 0.998437
208 97240013 0.972400130 0.998481
209 97421978 0.974219780 0.998582
210 97527398 0.975273980 0.998641
211 97586312 0.975863120 0.998674
212 97729858 0.977298580 0.998753
213 97810318 0.978103180 0.998798
214 97855059 0.978550590 0.998823
215 97964924 0.979649240 0.998884
216 98026038 0.980260380 0.998918
217 98129733 0.981297330 0.998975
218 98213162 0.982131620 0.999021
219 98259509 0.982595090 0.999047
220 98372633 0.983726330 0.999109
221 98436271 0.984362710 0.999144
222 98471258 0.984712580 0.999164
223 98558144 0.985581440 0.999212
224 98606159 0.986061590 0.999238
225 98637477 0.986374770 0.999255
226 98703383 0.987033830 0.999292
227 98739568 0.987395680 0.999311
228 98828521 0.988285210 0.999360
229 98878020 0.988780200 0.999387
230 98904762 0.989047620 0.999402
231 98972590 0.989725900 0.999439
232 99009577 0.990095770 0.999460
233 99029614 0.990296140 0.999471
234 99080613 0.990806130 0.999499
235 99108226 0.991082260 0.999514
236 99165490 0.991654900 0.999545
237 99203759 0.992037590 0.999566
238 99224257 0.992242570 0.999577
239 99276704 0.992767040 0.999606
240 99305286 0.993052860 0.999622
241 99320529 0.993205290 0.999630
242 99360246 0.993602460 0.999652
243 99381438 0.993814380 0.999663
244 99396682 0.993966820 0.999671
245 99426051 0.994260510 0.999688
246 99441606 0.994416060 0.999696
247 99481914 0.994819140 0.999718
248 99503774 0.995037740 0.999730
249 99515304 0.995153040 0.999736
250 99545537 0.995455370 0.999753
251 99561543 0.995615430 0.999761
252 99570063 0.995700630 0.999766
253 99592683 0.995926830 0.999778
254 99604797 0.996047970 0.999785
255 99633782 0.996337820 0.999801
256 99650668 0.996506680 0.999810
257 99659586 0.996595860 0.999815
258 99682986 0.996829860 0.999828
259 99695535 0.996955350 0.999834
260 99702096 0.997020960 0.999838
261 99719620 0.997196200 0.999848
262 99728845 0.997288450 0.999853
263 99737471 0.997374710 0.999857
264 99750389 0.997503890 0.999864
265 99757171 0.997571710 0.999868
266 99775315 0.997753150 0.999878
267 99784885 0.997848850 0.999883
268 99789817 0.997898170 0.999886
269 99803133 0.998031330 0.999893
270 99810005 0.998100050 0.999897
271 99813558 0.998135580 0.999899
272 99823253 0.998232530 0.999904
273 99828289 0.998282890 0.999907
274 99841255 0.998412550 0.999914
275 99848525 0.998485250 0.999918
276 99852229 0.998522290 0.999920
277 99862414 0.998624140 0.999925
278 99867679 0.998676790 0.999928
279 99870351 0.998703510 0.999930
280 99877822 0.998778220 0.999934
281 99881695 0.998816950 0.999936
282 99887304 0.998873040 0.999939
283 99892749 0.998927490 0.999942
284 99895611 0.998956110 0.999943
285 99903312 0.999033120 0.999947
286 99907359 0.999073590 0.999950
287 99909457 0.999094570 0.999951
288 99915244 0.999152440 0.999954
289 99918259 0.999182590 0.999956
290 99919861 0.999198610 0.999956
291 99924085 0.999240850 0.999959
292 99926190 0.999261900 0.999960
293 99932005 0.999320050 0.999963
294 99935006 0.999350060 0.999965
295 99936505 0.999365050 0.999966
296 99940805 0.999408050 0.999968
297 99942959 0.999429590 0.999969
298 99944012 0.999440120 0.999970
299 99947116 0.999471160 0.999971
300 99948639 0.999486390 0.999972
301 99951801 0.999518010 0.999974
302 99954032 0.999540320 0.999975
303 99955131 0.999551310 0.999976
304 99958289 0.999582890 0.999977
305 99959881 0.999598810 0.999978
306 99960663 0.999606630 0.999979
307 99962955 0.999629550 0.999980
308 99964072 0.999640720 0.999980
309 99964786 0.999647860 0.999981
310 99966420 0.999664200 0.999982
311 99967181 0.999671810 0.999982
312 99969455 0.999694550 0.999983
313 99970588 0.999705880 0.999984
314 99971140 0.999711400 0.999984
315 99972808 0.999728080 0.999985
316 99973630 0.999736300 0.999986
317 99974010 0.999740100 0.999986
318 99975184 0.999751840 0.999987
319 99975747 0.999757470 0.999987
320 99977157 0.999771570 0.999988
321 99978015 0.999780150 0.999988
322 99978444 0.999784440 0.999988
323 99979722 0.999797220 0.999989
324 99980391 0.999803910 0.999989
325 99980734 0.999807340 0.999990
326 99981715 0.999817150 0.999990
327 99982235 0.999822350 0.999990
328 99982602 0.999826020 0.999991
329 99983346 0.999833460 0.999991
330 99983745 0.999837450 0.999991
331 99984810 0.999848100 0.999992
332 99985396 0.999853960 0.999992
333 99985716 0.999857160 0.999992
334 99986581 0.999865810 0.999993
335 99987052 0.999870520 0.999993
336 99987300 0.999873000 0.999993
337 99987956 0.999879560 0.999993
338 99988309 0.999883090 0.999994
339 99989165 0.999891650 0.999994
340 99989665 0.999896650 0.999994
341 99989933 0.999899330 0.999995
342 99990658 0.999906580 0.999995
343 99991030 0.999910300 0.999995
344 99991220 0.999912200 0.999995
345 99991772 0.999917720 0.999996
346 99992062 0.999920620 0.999996
347 99992307 0.999923070 0.999996
348 99992708 0.999927080 0.999996
349 99992907 0.999929070 0.999996
350 99993474 0.999934740 0.999996
351 99993780 0.999937800 0.999997
352 99993931 0.999939310 0.999997
353 99994330 0.999943300 0.999997
354 99994535 0.999945350 0.999997
355 99994639 0.999946390 0.999997
356 99994936 0.999949360 0.999997
357 99995090 0.999950900 0.999997
358 99995506 0.999955060 0.999998
359 99995725 0.999957250 0.999998
360 99995843 0.999958430 0.999998
361 99996161 0.999961610 0.999998
362 99996323 0.999963230 0.999998
363 99996400 0.999964000 0.999998
364 99996642 0.999966420 0.999998
365 99996754 0.999967540 0.999998
366 99996932 0.999969320 0.999998
367 99997089 0.999970890 0.999998
368 99997166 0.999971660 0.999998
369 99997392 0.999973920 0.999999
370 99997491 0.999974910 0.999999
371 99997538 0.999975380 0.999999
372 99997696 0.999976960 0.999999
373 99997768 0.999977680 0.999999
374 99997805 0.999978050 0.999999
375 99997923 0.999979230 0.999999
376 99997980 0.999979800 0.999999
377 99998157 0.999981570 0.999999
378 99998247 0.999982470 0.999999
379 99998290 0.999982900 0.999999
380 99998430 0.999984300 0.999999
381 99998490 0.999984900 0.999999
382 99998516 0.999985160 0.999999
383 99998609 0.999986090 0.999999
384 99998654 0.999986540 0.999999
385 99998743 0.999987430 0.999999
386 99998812 0.999988120 0.999999
387 99998845 0.999988450 0.999999
388 99998952 0.999989520 0.999999
389 99999011 0.999990110 0.999999
390 99999041 0.999990410 0.999999
391 99999122 0.999991220 1.000000
392 99999160 0.999991600 1.000000
393 99999175 0.999991750 1.000000
394 99999230 0.999992300 1.000000
395 99999252 0.999992520 1.000000
396 99999326 0.999993260 1.000000
397 99999362 0.999993620 1.000000
398 99999374 0.999993740 1.000000
399 99999418 0.999994180 1.000000
400 99999431 0.999994310 1.000000
401 99999435 0.999994350 1.000000
402 99999460 0.999994600 1.000000
403 99999469 0.999994690 1.000000
404 99999495 0.999994950 1.000000
405 99999510 0.999995100 1.000000
406 99999512 0.999995120 1.000000
407 99999531 0.999995310 1.000000
408 99999537 0.999995370 1.000000
409 99999539 0.999995390 1.000000
410 99999551 0.999995510 1.000000
411 99999556 0.999995560 1.000000
412 99999563 0.999995630 1.000000
413 99999582 0.999995820 1.000000
414 99999592 0.999995920 1.000000
415 99999619 0.999996190 1.000000
416 99999637 0.999996370 1.000000
417 99999649 0.999996490 1.000000
418 99999680 0.999996800 1.000000
419 99999695 0.999996950 1.000000
420 99999701 0.999997010 1.000000
421 99999722 0.999997220 1.000000
422 99999732 0.999997320 1.000000
423 99999756 0.999997560 1.000000
424 99999767 0.999997670 1.000000
425 99999773 0.999997730 1.000000
426 99999797 0.999997970 1.000000
427 99999807 0.999998070 1.000000
428 99999812 0.999998120 1.000000
429 99999827 0.999998270 1.000000
430 99999835 0.999998350 1.000000
431 99999847 0.999998470 1.000000
432 99999861 0.999998610 1.000000
433 99999868 0.999998680 1.000000
434 99999890 0.999998900 1.000000
435 99999900 0.999999000 1.000000
436 99999906 0.999999060 1.000000
437 99999922 0.999999220 1.000000
438 99999928 0.999999280 1.000000
439 99999929 0.999999290 1.000000
440 99999938 0.999999380 1.000000
441 99999943 0.999999430 1.000000
442 99999954 0.999999540 1.000000
443 99999959 0.999999590 1.000000
444 99999962 0.999999620 1.000000
445 99999971 0.999999710 1.000000
446 99999973 0.999999730 1.000000
447 99999973 0.999999730 1.000000
448 99999973 0.999999730 1.000000
449 99999973 0.999999730 1.000000
450 99999977 0.999999770 1.000000
451 99999977 0.999999770 1.000000
452 99999977 0.999999770 1.000000
453 99999980 0.999999800 1.000000
454 99999980 0.999999800 1.000000
455 99999980 0.999999800 1.000000
456 99999980 0.999999800 1.000000
457 99999980 0.999999800 1.000000
458 99999980 0.999999800 1.000000
459 99999981 0.999999810 1.000000
460 99999982 0.999999820 1.000000
461 99999986 0.999999860 1.000000
462 99999988 0.999999880 1.000000
463 99999988 0.999999880 1.000000
464 99999990 0.999999900 1.000000
465 99999992 0.999999920 1.000000
466 99999993 0.999999930 1.000000
467 99999995 0.999999950 1.000000
468 99999995 0.999999950 1.000000
469 99999996 0.999999960 1.000000
470 99999996 0.999999960 1.000000
471 99999996 0.999999960 1.000000
472 99999996 0.999999960 1.000000
473 99999996 0.999999960 1.000000
474 99999996 0.999999960 1.000000
475 99999996 0.999999960 1.000000
476 99999996 0.999999960 1.000000
477 99999996 0.999999960 1.000000
478 99999996 0.999999960 1.000000
479 99999996 0.999999960 1.000000
480 99999996 0.999999960 1.000000
481 99999996 0.999999960 1.000000
482 99999996 0.999999960 1.000000
483 99999996 0.999999960 1.000000
484 99999996 0.999999960 1.000000
485 99999996 0.999999960 1.000000
486 99999996 0.999999960 1.000000
487 99999996 0.999999960 1.000000
488 99999996 0.999999960 1.000000
489 99999996 0.999999960 1.000000
490 99999996 0.999999960 1.000000
491 99999996 0.999999960 1.000000
492 99999996 0.999999960 1.000000
493 99999996 0.999999960 1.000000
494 99999996 0.999999960 1.000000
495 99999996 0.999999960 1.000000
496 99999996 0.999999960 1.000000
497 99999996 0.999999960 1.000000
498 99999996 0.999999960 1.000000
499 99999997 0.999999970 1.000000
500 99999997 0.999999970 1.000000
501 99999997 0.999999970 1.000000
502 99999997 0.999999970 1.000000
503 99999997 0.999999970 1.000000
504 99999997 0.999999970 1.000000
505 99999997 0.999999970 1.000000
506 99999997 0.999999970 1.000000
507 99999998 0.999999980 1.000000
508 99999998 0.999999980 1.000000
509 99999998 0.999999980 1.000000
510 99999998 0.999999980 1.000000
511 99999998 0.999999980 1.000000
512 99999998 0.999999980 1.000000
513 99999998 0.999999980 1.000000
514 99999998 0.999999980 1.000000
515 99999998 0.999999980 1.000000
516 99999998 0.999999980 1.000000
517 99999998 0.999999980 1.000000
518 99999998 0.999999980 1.000000
519 99999998 0.999999980 1.000000
520 99999998 0.999999980 1.000000
521 99999998 0.999999980 1.000000
522 99999998 0.999999980 1.000000
523 99999998 0.999999980 1.000000
524 99999998 0.999999980 1.000000
525 99999998 0.999999980 1.000000
526 99999998 0.999999980 1.000000
527 99999998 0.999999980 1.000000
528 99999998 0.999999980 1.000000
529 99999998 0.999999980 1.000000
530 99999998 0.999999980 1.000000
531 99999998 0.999999980 1.000000
532 99999998 0.999999980 1.000000
533 99999998 0.999999980 1.000000
534 99999998 0.999999980 1.000000
535 99999998 0.999999980 1.000000
536 99999998 0.999999980 1.000000
537 99999998 0.999999980 1.000000
538 99999998 0.999999980 1.000000
539 99999998 0.999999980 1.000000
540 99999998 0.999999980 1.000000
541 99999998 0.999999980 1.000000
542 99999998 0.999999980 1.000000
543 99999998 0.999999980 1.000000
544 99999998 0.999999980 1.000000
545 99999998 0.999999980 1.000000
546 99999998 0.999999980 1.000000
547 99999998 0.999999980 1.000000
548 99999998 0.999999980 1.000000
549 99999998 0.999999980 1.000000
550 99999998 0.999999980 1.000000
551 99999998 0.999999980 1.000000
552 99999998 0.999999980 1.000000
553 99999998 0.999999980 1.000000
554 99999998 0.999999980 1.000000
555 99999998 0.999999980 1.000000
556 99999998 0.999999980 1.000000
557 99999998 0.999999980 1.000000
558 99999998 0.999999980 1.000000
559 99999998 0.999999980 1.000000
560 99999998 0.999999980 1.000000
561 99999998 0.999999980 1.000000
562 99999998 0.999999980 1.000000
563 99999998 0.999999980 1.000000
564 99999998 0.999999980 1.000000
565 99999998 0.999999980 1.000000
566 99999998 0.999999980 1.000000
567 99999998 0.999999980 1.000000
568 99999998 0.999999980 1.000000
569 99999998 0.999999980 1.000000
570 99999998 0.999999980 1.000000
571 99999998 0.999999980 1.000000
572 99999998 0.999999980 1.000000
573 99999998 0.999999980 1.000000
574 99999998 0.999999980 1.000000
575 99999998 0.999999980 1.000000
576 99999998 0.999999980 1.000000
577 99999998 0.999999980 1.000000
578 99999998 0.999999980 1.000000
579 99999998 0.999999980 1.000000
580 99999998 0.999999980 1.000000
581 99999998 0.999999980 1.000000
582 99999998 0.999999980 1.000000
583 99999998 0.999999980 1.000000
584 99999998 0.999999980 1.000000
585 99999998 0.999999980 1.000000
586 99999998 0.999999980 1.000000
587 99999998 0.999999980 1.000000
588 99999998 0.999999980 1.000000
589 99999998 0.999999980 1.000000
590 99999998 0.999999980 1.000000
591 99999999 0.999999990 1.000000
592 100000000 1.000000000 1.000000
