X = 100,000,000,  c_naive(e) = 2.409421 * e

      e   depth d  c(e)=d/log2X  c_naive(e)   ratio   deficit
  0.300        16         0.602       0.723   0.833    -0.121
  0.500        29         1.091       1.205   0.906    -0.113
  0.600        36         1.355       1.446   0.937    -0.091
  0.700        44         1.656       1.687   0.982    -0.031
  0.750        49         1.844       1.807   1.020     0.037
  0.800        55         2.070       1.928   1.074     0.142
  0.840        62         2.333       2.024   1.153     0.309
  0.880        71         2.672       2.120   1.260     0.551
  0.900        78         2.935       2.168   1.354     0.767
  0.950       105         3.951       2.289   1.726     1.662
  0.990       158         5.945       2.385   2.492     3.560
  0.999       218         8.203       2.407   3.408     5.796

per-depth growth ratio coverage(d)/coverage(d-1), against the branching factor 4/3:
    d      coverage    ratio   vs 4/3  log(cov)/log(X)
    8            24   1.3333    1.000           0.1725
   16           274   1.3301    0.998           0.3047
   24         2,688   1.3287    0.997           0.4287
   32        26,291   1.3207    0.991           0.5525
   40       200,217   1.2497    0.937           0.6627
   48       945,026   1.1736    0.880           0.7469
   56     2,891,069   1.1219    0.841           0.8076
   64     6,490,538   1.0883    0.816           0.8515
   72    11,708,432   1.0662    0.800           0.8836
   80    18,100,301   1.0512    0.788           0.9072
   88    25,145,019   1.0407    0.781           0.9251
   96    32,367,942   1.0333    0.775           0.9388
  104    39,604,669   1.0284    0.771           0.9497
  112    46,958,505   1.0251    0.769           0.9590
  120    54,409,454   1.0226    0.767           0.9670
  128    61,550,861   1.0204    0.765           0.9737
  136    68,337,191   1.0178    0.763           0.9793
  144    74,429,699   1.0155    0.762           0.9840
  152    79,793,118   1.0105    0.758           0.9877
  160    84,149,307   1.0040    0.753           0.9906
  168    87,847,479   1.0025    0.752           0.9930
  176    90,900,794   1.0020    0.752           0.9948
