depth 30, measured over 3,765 paths; max measured b = 14

   b   measured       k=1       k=3       k=5       k=7       k=9
   0    0.00027   0.00014   0.00012   0.00011   0.00011   0.00012
   1    0.00372   0.00208   0.00175   0.00171   0.00172   0.00173
   2    0.01620   0.00972   0.00875   0.00855   0.00858   0.00865
   3    0.04542   0.02971   0.02754   0.02690   0.02698   0.02720
   4    0.09163   0.06554   0.06224   0.06099   0.06117   0.06167
   5    0.14130   0.11126   0.10850   0.10648   0.10679   0.10767
   6    0.17264   0.15116   0.15088   0.14759   0.14795   0.14916
   7    0.17371   0.16876   0.17143   0.16868   0.16876   0.17014
   8    0.14688   0.15774   0.16186   0.16169   0.16152   0.16288
   9    0.10518   0.12516   0.12861   0.13099   0.13073   0.13176
  10    0.06003   0.08515   0.08682   0.09015   0.09013   0.08895
  11    0.02762   0.05006   0.05016   0.05285   0.05294   0.05128
  12    0.01062   0.02557   0.02493   0.02640   0.02635   0.02470
  13    0.00398   0.01139   0.01070   0.01122   0.01102   0.00985
  14    0.00080   0.00444   0.00397   0.00405   0.00383   0.00321
  15    0.00000   0.00151   0.00127   0.00123   0.00110   0.00083
  16    0.00000   0.00045   0.00035   0.00032   0.00026   0.00017

    mean b: measured 6.7134   k=1: 7.3575   k=3: 7.3914   k=5: 7.4418   k=7: 7.4345   k=9: 7.3991
  L1 error: k=1: 0.2130   k=3: 0.2274   k=5: 0.2477   k=7: 0.2456   k=9: 0.2371
