alpha = log2/log3 = 0.630930

   d        paths      (4/3)^d   max b   max b/d   alpha   min node
   4            2            3       1    0.2500  0.6309          5
   8            6           10       2    0.2500  0.6309         24
  12           24           32       5    0.4167  0.6309         14
  16           68          100       7    0.4375  0.6309         25
  20          211          315       9    0.4500  0.6309         43
  24          665          997      11    0.4583  0.6309         78
  28        2,122        3,150      13    0.4643  0.6309        135
  32        6,682        9,955      15    0.4688  0.6309        246
  36       21,122       31,463      18    0.5000  0.6309        159

depth 34, cycle excluded: 11,878 paths vs (4/3)^34 = 17,698
  mean b = 7.7050  (model d/4 = 8.5000)
  var  b = 5.4806  (model 3d/16 = 6.3750)
  max  b = 16   (model allows 34; alpha*34 = 21.5)

   b   observed frac   Binom(34,1/4)  obs/model
   0         0.00008         0.00006      1.490
   1         0.00135         0.00064      2.103
   2         0.00674         0.00352      1.912
   3         0.02189         0.01252      1.748
   4         0.05169         0.03235      1.598
   5         0.09396         0.06470      1.452
   6         0.13655         0.10424      1.310
   7         0.16316         0.13899      1.174
   8         0.16333         0.15636      1.045
   9         0.13950         0.15057      0.926
  10         0.10221         0.12548      0.815
  11         0.06398         0.09126      0.701
  12         0.03384         0.05830      0.580
  13         0.01414         0.03289      0.430
  14         0.00547         0.01644      0.333
  15         0.00177         0.00731      0.242
  16         0.00034         0.00289      0.116
  17         0.00000         0.00102      0.000
  18         0.00000         0.00032      0.000
