# chart (k,q) = (2,3): D = C(2,1) = 2,  dim = 0.33333,  predicted rate = 4.0000
# N  m_N  m_N/m_{N-1}  predicted  log(m_N)/N  log(rate)
1 1 0.000 4.0000 0.00000 1.38629
2 9 9.000 4.0000 1.09861 1.38629
3 107 11.889 4.0000 1.55761 1.38629
4 107 1.000 4.0000 1.16821 1.38629
5 1017 9.505 4.0000 1.38492 1.38629
6 7275 7.153 4.0000 1.48203 1.38629
7 7275 1.000 4.0000 1.27031 1.38629
8 106603 14.653 4.0000 1.44711 1.38629
9 397065 3.725 4.0000 1.43243 1.38629
10 3711083 9.346 4.0000 1.51268 1.38629
11 8748027 2.357 4.0000 1.45312 1.38629
12 11090041 1.268 4.0000 1.35180 1.38629
13 11090041 1.000 4.0000 1.24781 1.38629
14 11090041 1.000 4.0000 1.15868 1.38629
