# T-6245 race:  nu_{j-1}  vs  Bmax(j)
# a counterexample minimum with chi(m) = j needs nu_{j-1} <= Bmax(j)
    j       nu_{j-1}          Bmax(j)          ratio verdict
    2              3           1.0000           3.00 EXCLUDED
    3              3           0.2000          15.00 EXCLUDED
    4              3           0.7143           4.20 EXCLUDED
    5              7           4.6000           1.52 EXCLUDED
    6              7           0.6216          11.26 EXCLUDED
    7              7           1.8085           3.87 EXCLUDED
    8             27          24.5385           1.10 EXCLUDED
    9             27           1.1859          22.77 EXCLUDED
   10             27           3.6780           7.34 EXCLUDED
   11             27           0.8226          32.82 EXCLUDED
   12             27           1.9733          13.68 EXCLUDED
   13             27           8.1845           3.30 EXCLUDED
   14             27           1.3590          19.87 EXCLUDED
   15             27           3.3736           8.00 EXCLUDED
   16             27          22.9402           1.18 EXCLUDED
   17             27           2.0662          13.07 EXCLUDED
   18             27           5.6379           4.79 EXCLUDED
   19             27           1.3804          19.56 EXCLUDED
   20             27           3.0334           8.90 EXCLUDED
   21             27          10.4019           2.60 EXCLUDED
   22             27           2.0117          13.42 EXCLUDED
   23             27           4.6426           5.82 EXCLUDED
   24             27          22.4079           1.20 EXCLUDED
   25             27           2.8332           9.53 EXCLUDED
   26             27           7.1327           3.79 EXCLUDED
   27             27         108.0125           0.25 open
   28             27           3.9372           6.86 EXCLUDED
   29             27          11.4582           2.36 EXCLUDED
   30             27           2.4951          10.82 EXCLUDED
   31             27           5.4868           4.92 EXCLUDED
   32             27          21.3948           1.26 EXCLUDED
   33             27           3.3883           7.97 EXCLUDED
   34             27           8.0393           3.36 EXCLUDED
   35             27          57.2907           0.47 open
   36             27           4.5704           5.91 EXCLUDED
   37             27          12.2213           2.21 EXCLUDED
   38             27           2.9277           9.22 EXCLUDED
   39             27           6.1951           4.36 EXCLUDED
   40             27          20.7880           1.30 EXCLUDED
   41             27           3.8789           6.96 EXCLUDED
   42             27           8.7704           3.08 EXCLUDED
   43             27          43.6031           0.62 open
   44             27           5.1208           5.27 EXCLUDED
   45             27          12.7978           2.11 EXCLUDED
   46             27         281.9439           0.10 open
   47             27           6.7971           3.97 EXCLUDED
   48             27          19.9189           1.36 EXCLUDED
   49             27           4.2165           6.40 EXCLUDED
   50             27           9.1640           2.95 EXCLUDED
   51             27          36.4490           0.74 open
   52             27           5.4837           4.92 EXCLUDED
   53             27          12.9726           2.08 EXCLUDED
   54             27         103.7209           0.26 open
   55             27           7.1672           3.77 EXCLUDED
   56             27          19.2998           1.40 EXCLUDED
   57             27           4.5183           5.98 EXCLUDED
   58             27           9.4930           2.84 EXCLUDED
   59             27          32.3205           0.84 open
   60            703           5.8040         121.12 EXCLUDED
   61            703          13.1127          53.61 EXCLUDED
   62            703          69.2512          10.15 EXCLUDED
   63            703           7.4883          93.88 EXCLUDED
   64            703          18.8370          37.32 EXCLUDED
   65            703         867.1395           0.81 open
   66            703           9.7718          71.94 EXCLUDED
   67            703          29.1527          24.11 EXCLUDED
   68            703           5.9890         117.38 EXCLUDED
   69            703          13.0162          54.01 EXCLUDED
   70            703          53.7604          13.08 EXCLUDED
   75            703          26.9308          26.10 EXCLUDED
  100          10087         142.5408          70.77 EXCLUDED
  125          35655          11.9436        2985.29 EXCLUDED
  150         270271          22.3692       12082.27 EXCLUDED
  175         626331          46.4507       13483.78 EXCLUDED
  200        1126015         134.7457        8356.59 EXCLUDED
  225        8088063          18.2304      443658.18 EXCLUDED
  250       13421671          30.6874      437366.96 EXCLUDED
  275       13421671          56.3212      238305.73 EXCLUDED
  300       56924955         127.2548      447330.45 EXCLUDED
  325       63728127         838.2884       76021.73 EXCLUDED
  350       63728127          35.9757     1771421.18 EXCLUDED
  371       63728127         658.2964       96807.65 EXCLUDED
  372       63728127          48.2151     1321746.90 EXCLUDED
  373       63728127         126.5683      503507.72 EXCLUDED
  374       63728127          29.8976     2131544.54 EXCLUDED
  375       63728127          61.1740     1041751.13 EXCLUDED
  376       63728127         199.4988      319441.16 EXCLUDED

j where nu_{j-1} <= Bmax(j): [27, 35, 43, 46, 51, 54, 59, 65]
max Bmax(j) over those j    : 867.1395
all such j are <= 65

for every j in [66, 376] the criterion holds; ratio at j=376 is 3.194e+05
