 L  supercrit    |D_L|   maxw  width histogram (w:count, w>=2 top 6)
  6         22        8      2  [(2, 4)]
  7         29       10      2  [(2, 5)]
  8         37       12      2  [(2, 6)]
  9        130       63      3  [(3, 5), (2, 24)]
 10        176       80      3  [(3, 6), (2, 31)]
 11        562      308      4  [(4, 6), (3, 34), (2, 91)]
 12        794      411      4  [(4, 7), (3, 43), (2, 127)]
 13       1093      535      4  [(4, 8), (3, 53), (2, 172)]
 14       3473     1963      5  [(5, 22), (4, 46), (3, 217), (2, 509)]
 15       4944     2656      5  [(5, 25), (4, 56), (3, 283), (2, 729)]
 16       6885     3521      5  [(5, 28), (4, 67), (3, 361), (2, 1015)]
 17      21778    12607      8  [(8, 9), (7, 29), (6, 37), (5, 161), (4, 337), (3, 1295)]
 18      31180    17244      8  [(8, 10), (7, 32), (6, 42), (5, 193), (4, 430), (3, 1733)]
 19      94184    58076     12  [(12, 4), (11, 27), (10, 42), (9, 22), (8, 118), (7, 222)]
 20     137980    81497     12  [(12, 4), (11, 30), (10, 47), (9, 24), (8, 137), (7, 262)]
 21     198440   112414     12  [(12, 4), (11, 33), (10, 52), (9, 26), (8, 157), (7, 305)]
 22     600370   375137     18  [(18, 1), (17, 14), (16, 42), (15, 33), (14, 53), (13, 79)]
 23     880970   528984     18  [(18, 1), (17, 15), (16, 46), (15, 36), (14, 58), (13, 87)]
 24    1271626   734661     18  [(18, 1), (17, 16), (16, 50), (15, 39), (14, 63), (13, 95)]
 25    3850756  2432391     26  [(26, 1), (25, 18), (24, 14), (23, 65), (22, 51), (21, 88)]
 26    5658537  3444318     26  [(26, 1), (25, 19), (24, 15), (23, 70), (22, 55), (21, 96)]
done
