# N  W_N  dens(S_N)=W_N/2^N  log2(dens)/N
1 1 5.000000e-01 -1.0000
2 1 2.500000e-01 -1.0000
3 2 2.500000e-01 -0.6667
4 3 1.875000e-01 -0.6038
5 4 1.250000e-01 -0.6000
6 8 1.250000e-01 -0.5000
7 13 1.015625e-01 -0.4714
8 19 7.421875e-02 -0.4690
9 38 7.421875e-02 -0.4169
10 64 6.250000e-02 -0.4000
11 128 6.250000e-02 -0.3636
12 226 5.517578e-02 -0.3483
13 367 4.479980e-02 -0.3446
14 734 4.479980e-02 -0.3200
15 1295 3.952026e-02 -0.3108
16 2114 3.225708e-02 -0.3096
17 4228 3.225708e-02 -0.2914
18 7495 2.859116e-02 -0.2849
19 14990 2.859116e-02 -0.2699
20 27328 2.606201e-02 -0.2631
21 46611 2.222586e-02 -0.2615
22 93222 2.222586e-02 -0.2496
23 168807 2.012336e-02 -0.2450
24 286581 1.708156e-02 -0.2446
25 573162 1.708156e-02 -0.2349
26 1037374 1.545808e-02 -0.2314
27 1762293 1.313011e-02 -0.2315
28 3524586 1.313011e-02 -0.2232
29 6385637 1.189418e-02 -0.2205
30 12771274 1.189418e-02 -0.2131
31 23642078 1.100920e-02 -0.2098
32 41347483 9.626961e-03 -0.2093
33 82694966 9.626961e-03 -0.2030
34 151917636 8.842770e-03 -0.2006
35 263841377 7.678795e-03 -0.2007
36 527682754 7.678795e-03 -0.1951
37 967378591 7.038606e-03 -0.1933
38 1934757182 7.038606e-03 -0.1882
39 3611535862 6.569345e-03 -0.1859
40 6402835000 5.823345e-03 -0.1856
60 2216134944775156 1.922191e-03 -0.1504
80 803209913882910595105 6.643997e-04 -0.1319
100 302560669500543257546172187 2.386783e-04 -0.1203
120 131320930040438275830258155402960 9.879489e-05 -0.1109
140 55235518017822053151212898306819924189 3.962954e-05 -0.1045
160 25222220502623198848350914119792174865536926 1.725774e-05 -0.0989
180 11280426475319943841721171095952264613328781880799 7.360822e-06 -0.0947
200 4917911213247274697935031643998322726370567793471092895 3.060424e-06 -0.0916
220 2350416451889636900181948096017210307496176261675123619618484 1.394909e-06 -0.0884
240 1076429566919345298119787844921703986692539608346126555002293730433 6.092375e-07 -0.0860
260 484903067660315212711816000587276853034384525966817980876456647788898940 2.617315e-07 -0.0841
280 238240409402823873938582224893455576244675444601882514037489379341005594647456 1.226356e-07 -0.0820
300 111358800986904242131297286221730529252986567662022866509378290558038512175289008981 5.466708e-08 -0.0804
320 55218203914065839646914114600871933973572911285962691791122882338900513424116508293530694 2.585138e-08 -0.0788
340 26819225209871912087372763917163596093306609763482846700023116137463926999212435170981994441818 1.197423e-08 -0.0774
360 12413974494565452272363340149994864710210543856483338854491068856134755224478924850652139747047915110 5.285820e-09 -0.0764
380 6243561841978095951303020274534924032584359937589926138751022561514390767738722012425324710076324202223738 2.535327e-09 -0.0751
400 2991976163397584332049206932845884542213698957101572273358822068486559963480621878733925829902904362475424974343 1.158670e-09 -0.0742
