# scan n <= 10000000000
# n  tau_c  peak_value  peak_(q,k)  peak_surplus_log3  overflow_guard
1 2 2 (1,1) 0.3691 ok
3 4 8 (2,2) 0.7381 ok
7 7 26 (3,3) 1.1072 ok
27 59 4616 (33,45) 4.6082 ok
703 81 125252 (35,48) 4.7154 ok
10087 105 1242458 (17,20) 4.3814 ok
35655 135 20581856 (55,78) 5.7875 ok
270271 164 12324038948 (88,124) 9.7647 ok
362343 165 282667562 (66,95) 6.0617 ok
381727 173 282667562 (71,103) 6.0142 ok
626331 176 3611141594 (47,62) 7.8824 ok
1027431 183 8904120362 (101,147) 8.2533 ok
1126015 224 45119577824 (127,186) 9.6471 ok
8088063 246 8077577336 (29,36) 6.2865 ok
13421671 287 795853127168 (116,168) 10.0038 ok
20638335 292 44621605808 (48,65) 6.9896 ok
26716671 298 1848429310544 (48,60) 10.1442 ok
56924955 308 3604523133626 (123,179) 10.0636 ok
63728127 376 483308017730 (34,41) 8.1319 ok
217740015 395 1258010763560 (100,146) 7.8843 ok
1200991791 398 17840753338778 (169,254) 8.7438 ok
1827397567 433 59368349425884506 (176,254) 15.7438 ok
2788008987 447 40943884587866 (210,319) 8.7334 ok
# tail counts: N  #{n<=X: tau_c(n)>N}  ratio
# 1 5000000000 5.000000e-01
# 2 2500000000 2.500000e-01
# 3 2500000000 2.500000e-01
# 4 1875000000 1.875000e-01
# 5 1250000000 1.250000e-01
# 6 1250000000 1.250000e-01
# 7 1015625000 1.015625e-01
# 8 742187500 7.421875e-02
# 9 742187500 7.421875e-02
# 10 625000000 6.250000e-02
# 11 625000000 6.250000e-02
# 12 551757813 5.517578e-02
# 13 447998048 4.479980e-02
# 14 447998048 4.479980e-02
# 15 395202633 3.952026e-02
# 16 322570801 3.225708e-02
# 17 322570801 3.225708e-02
# 18 285911562 2.859116e-02
# 19 285911562 2.859116e-02
# 20 260620112 2.606201e-02
# 21 222258531 2.222585e-02
# 22 222258531 2.222585e-02
# 23 201233580 2.012336e-02
# 24 170815570 1.708156e-02
# 25 170815570 1.708156e-02
# 26 154580780 1.545808e-02
# 27 131300807 1.313008e-02
# 28 131300807 1.313008e-02
# 29 118941451 1.189415e-02
# 30 118941451 1.189415e-02
# 31 110091765 1.100918e-02
# 32 96269281 9.626928e-03
# 33 96269281 9.626928e-03
# 34 88427964 8.842796e-03
# 35 76786896 7.678690e-03
# 36 76786896 7.678690e-03
# 37 70385546 7.038555e-03
# 38 70385546 7.038555e-03
# 39 65692841 6.569284e-03
# 40 58233299 5.823330e-03
# 41 58233299 5.823330e-03
# 42 53914514 5.391451e-03
# 43 47409845 4.740984e-03
# 44 47409845 4.740984e-03
# 45 43770495 4.377049e-03
# 46 38366049 3.836605e-03
# 47 38366049 3.836605e-03
# 48 35377605 3.537761e-03
# 49 35377605 3.537761e-03
# 50 33172610 3.317261e-03
# 51 29643136 2.964314e-03
# 52 29643136 2.964314e-03
# 53 27581668 2.758167e-03
# 54 24451155 2.445116e-03
# 55 24451155 2.445116e-03
# 56 22681070 2.268107e-03
# 57 22681070 2.268107e-03
# 58 21359128 2.135913e-03
# 59 19223847 1.922385e-03
# 60 19223847 1.922385e-03
# 61 17963001 1.796300e-03
# 62 16031559 1.603156e-03
# 63 16031559 1.603156e-03
# 64 14932407 1.493241e-03
